t soma;t min;I(A);V(V);P(w);E(J)
0;0;0;3,164;0;0
22;0,366666667;0,0003;3,165;0,0009495;0,0104445
32;0,533333333;0,0944;3,193;0,3014192;1,5118435
36;0,6;0,0931;3,197;0,2976407;1,1981198
37;0,616666667;0,475;3,273;1,554675;0,92615785
46;0,766666667;0,412;3,31;1,36372;13,1327775
60;1;0,352;3,345;1,17744;17,78812
85;1,416666667;1,003;3,576;3,586728;59,5521
100;1,666666667;0,909;3,631;3,300579;51,6548025
108;1,8;1,009;3,675;3,708075;28,034616
148;2,466666667;0,872;3,756;3,275232;139,66614
153;2,55;1,023;3,787;3,874101;17,8733325
197;3,283333333;0,951;3,829;3,641379;165,34056
200;3,333333333;1,024;3,84;3,93216;11,3603085
395;6,583333333;0,904;3,912;3,536448;728,18928
447;7,45;0,888;3,922;3,482736;182,498784
451;7,516666667;1,072;3,942;4,225824;15,41712
623;10,38333333;0,967;3,956;3,825452;692,409736
1661;27,68333333;0,757;4,083;3,090831;3589,550877
1667;27,78333333;0,971;4,106;3,986926;21,233271
1957;32,61666667;0,817;4,201;3,432217;1075,775735
1995;33,25;1,023;4,208;4,304784;147,003019
2032;33,86666667;0,948;4,249;4,028052;154,157466
2039;33,98333333;0;4,159;0;14,098182
2185;36,41666667;0;4,082;0;0
2242;37,36666667;0,966;4,199;4,056234;115,602669
2283;38,05;0,881;4,252;3,746012;159,946043
2482;41,36666667;0,742;4,337;3,218054;692,924567
2495;41,58333333;0;4,256;0;20,917351
