t min arred;t s;t soma;t min;I(A);V(V);P(w);E(J)
0;0;0;0,00;0;4,18;0;0
0;9;9;0,15;0,909;4,07;3,69963;16,648335
1;30;90;1,50;0,86;4;3,44;289,155015
2;30;150;2,50;0,855;3,97;3,39435;205,0305
12;30;750;12,50;0,742;3,78;2,80476;1859,733
13;20;800;13,33;0,731;3,78;2,76318;139,1985
13;30;810;13,50;0,79;3,77;2,9783;28,7074
15;30;930;15,50;0,769;3,74;2,87606;351,2616
26;30;1590;26,50;0,75;3,64;2,73;1849,9998
33;0;1980;33,00;0,683;3,6;2,4588;1011,816
40;36;2436;40,60;0,66;3,4;2,244;1072,2384
41;30;2490;41,50;0,653;3,35;2,18755;119,65185
42;10;2530;42,17;0,644;3,3;2,1252;86,255
42;54;2574;42,90;0,63;3,2;2,016;91,1064
43;25;2605;43,42;0,626;3,1;1,9406;61,3273
43;37;2617;43,62;0,607;3,05;1,85135;22,7517
43;47;2627;43,78;0,619;3;1,857;18,54175
