Model,DPO3034
Firmware Version,2.07

Point Format,Y
Horizontal Units,S
Horizontal Scale,200
Sample Interval,0.2
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-1.000e+03,4.24844
-9.998e+02,4.24781
-9.996e+02,4.24781
-9.994e+02,4.24688
-9.992e+02,4.2475
-9.990e+02,4.24875
-9.988e+02,4.24906
-9.986e+02,4.24875
-9.984e+02,4.24875
-9.982e+02,4.24875
-9.980e+02,4.24875
-9.978e+02,4.24781
-9.976e+02,4.24844
-9.974e+02,4.24844
-9.972e+02,4.24844
-9.970e+02,4.25
-9.968e+02,4.24969
-9.966e+02,4.25
-9.964e+02,4.24906
-9.962e+02,4.24906
-9.960e+02,4.24875
-9.958e+02,4.24969
-9.956e+02,4.24906
-9.954e+02,4.24906
-9.952e+02,4.24812
-9.950e+02,4.24844
-9.948e+02,4.24875
-9.946e+02,4.24844
-9.944e+02,4.24844
-9.942e+02,4.24812
-9.940e+02,4.24656
-9.938e+02,4.24688
-9.936e+02,4.24844
-9.934e+02,4.24906
-9.932e+02,4.24781
-9.930e+02,4.24844
-9.928e+02,4.24781
-9.926e+02,4.24812
-9.924e+02,4.24906
-9.922e+02,4.24937
-9.920e+02,4.24937
-9.918e+02,4.24844
-9.916e+02,4.2475
-9.914e+02,4.24688
-9.912e+02,4.24688
-9.910e+02,4.2475
-9.908e+02,4.24688
-9.906e+02,4.24625
-9.904e+02,4.24625
-9.902e+02,4.24844
-9.900e+02,4.24688
-9.898e+02,4.24688
-9.896e+02,4.24812
-9.894e+02,4.2475
-9.892e+02,4.24812
-9.890e+02,4.24688
-9.888e+02,4.24656
-9.886e+02,4.24781
-9.884e+02,4.2475
-9.882e+02,4.24563
-9.880e+02,4.24625
-9.878e+02,4.24594
-9.876e+02,4.24625
-9.874e+02,4.24594
-9.872e+02,4.175
-9.870e+02,4.1425
-9.868e+02,4.12938
-9.866e+02,4.12875
-9.864e+02,4.12875
-9.862e+02,4.12938
-9.860e+02,4.13063
-9.858e+02,4.13094
-9.856e+02,4.12969
-9.854e+02,4.12938
-9.852e+02,4.12969
-9.850e+02,4.12969
-9.848e+02,4.12906
-9.846e+02,4.12969
-9.844e+02,4.12938
-9.842e+02,4.12875
-9.840e+02,4.12875
-9.838e+02,4.12875
-9.836e+02,4.12875
-9.834e+02,4.12781
-9.832e+02,4.12656
-9.830e+02,4.12594
-9.828e+02,4.12344
-9.826e+02,4.12344
-9.824e+02,4.12406
-9.822e+02,4.12375
-9.820e+02,4.1225
-9.818e+02,4.12281
-9.816e+02,4.12312
-9.814e+02,4.12312
-9.812e+02,4.12312
-9.810e+02,4.12188
-9.808e+02,4.12125
-9.806e+02,4.12063
-9.804e+02,4.12031
-9.802e+02,4.11937
-9.800e+02,4.11844
-9.798e+02,4.11844
-9.796e+02,4.11875
-9.794e+02,4.11906
-9.792e+02,4.11813
-9.790e+02,4.11719
-9.788e+02,4.11719
-9.786e+02,4.1175
-9.784e+02,4.11625
-9.782e+02,4.1175
-9.780e+02,4.11656
-9.778e+02,4.115
-9.776e+02,4.11375
-9.774e+02,4.11375
-9.772e+02,4.11375
-9.770e+02,4.11531
-9.768e+02,4.11469
-9.766e+02,4.11406
-9.764e+02,4.11313
-9.762e+02,4.1125
-9.760e+02,4.1125
-9.758e+02,4.11125
-9.756e+02,4.11125
-9.754e+02,4.11125
-9.752e+02,4.11156
-9.750e+02,4.11125
-9.748e+02,4.11062
-9.746e+02,4.10938
-9.744e+02,4.10875
-9.742e+02,4.10844
-9.740e+02,4.10813
-9.738e+02,4.10844
-9.736e+02,4.10813
-9.734e+02,4.10781
-9.732e+02,4.10625
-9.730e+02,4.10625
-9.728e+02,4.10594
-9.726e+02,4.10656
-9.724e+02,4.10688
-9.722e+02,4.10562
-9.720e+02,4.10562
-9.718e+02,4.10562
-9.716e+02,4.10531
-9.714e+02,4.10344
-9.712e+02,4.10313
-9.710e+02,4.10344
-9.708e+02,4.1025
-9.706e+02,4.10281
-9.704e+02,4.1025
-9.702e+02,4.10313
-9.700e+02,4.10187
-9.698e+02,4.10062
-9.696e+02,4.09969
-9.694e+02,4.10031
-9.692e+02,4.10031
-9.690e+02,4.09938
-9.688e+02,4.0975
-9.686e+02,4.0975
-9.684e+02,4.09813
-9.682e+02,4.09906
-9.680e+02,4.0975
-9.678e+02,4.0975
-9.676e+02,4.09687
-9.674e+02,4.09656
-9.672e+02,4.0975
-9.670e+02,4.09813
-9.668e+02,4.09875
-9.666e+02,4.09781
-9.664e+02,4.09656
-9.662e+02,4.09656
-9.660e+02,4.09594
-9.658e+02,4.09563
-9.656e+02,4.09594
-9.654e+02,4.09563
-9.652e+02,4.09531
-9.650e+02,4.09594
-9.648e+02,4.09438
-9.646e+02,4.09406
-9.644e+02,4.09406
-9.642e+02,4.09344
-9.640e+02,4.09375
-9.638e+02,4.09219
-9.636e+02,4.09125
-9.634e+02,4.09094
-9.632e+02,4.09125
-9.630e+02,4.09156
-9.628e+02,4.09125
-9.626e+02,4.09156
-9.624e+02,4.09125
-9.622e+02,4.08938
-9.620e+02,4.08812
-9.618e+02,4.08875
-9.616e+02,4.0875
-9.614e+02,4.08688
-9.612e+02,4.08688
-9.610e+02,4.08719
-9.608e+02,4.08719
-9.606e+02,4.08812
-9.604e+02,4.08688
-9.602e+02,4.08688
-9.600e+02,4.08719
-9.598e+02,4.08594
-9.596e+02,4.08594
-9.594e+02,4.08656
-9.592e+02,4.08656
-9.590e+02,4.085
-9.588e+02,4.08469
-9.586e+02,4.08281
-9.584e+02,4.08375
-9.582e+02,4.08406
-9.580e+02,4.08375
-9.578e+02,4.08219
-9.576e+02,4.08188
-9.574e+02,4.08125
-9.572e+02,4.08125
-9.570e+02,4.08094
-9.568e+02,4.08094
-9.566e+02,4.08188
-9.564e+02,4.08094
-9.562e+02,4.08063
-9.560e+02,4.08
-9.558e+02,4.07875
-9.556e+02,4.07969
-9.554e+02,4.07969
-9.552e+02,4.07906
-9.550e+02,4.07875
-9.548e+02,4.07937
-9.546e+02,4.07937
-9.544e+02,4.07937
-9.542e+02,4.08063
-9.540e+02,4.08031
-9.538e+02,4.07906
-9.536e+02,4.07844
-9.534e+02,4.0775
-9.532e+02,4.07812
-9.530e+02,4.0775
-9.528e+02,4.0775
-9.526e+02,4.07812
-9.524e+02,4.07812
-9.522e+02,4.07812
-9.520e+02,4.07781
-9.518e+02,4.07781
-9.516e+02,4.07812
-9.514e+02,4.07688
-9.512e+02,4.075
-9.510e+02,4.07469
-9.508e+02,4.07563
-9.506e+02,4.07531
-9.504e+02,4.075
-9.502e+02,4.07469
-9.500e+02,4.075
-9.498e+02,4.07469
-9.496e+02,4.07375
-9.494e+02,4.07375
-9.492e+02,4.07344
-9.490e+02,4.07125
-9.488e+02,4.07125
-9.486e+02,4.07219
-9.484e+02,4.07125
-9.482e+02,4.07094
-9.480e+02,4.07062
-9.478e+02,4.07125
-9.476e+02,4.07125
-9.474e+02,4.07
-9.472e+02,4.07031
-9.470e+02,4.07
-9.468e+02,4.07031
-9.466e+02,4.07125
-9.464e+02,4.07156
-9.462e+02,4.07156
-9.460e+02,4.07125
-9.458e+02,4.07094
-9.456e+02,4.07062
-9.454e+02,4.07031
-9.452e+02,4.07
-9.450e+02,4.07062
-9.448e+02,4.06969
-9.446e+02,4.06937
-9.444e+02,4.06844
-9.442e+02,4.06875
-9.440e+02,4.06906
-9.438e+02,4.0675
-9.436e+02,4.06719
-9.434e+02,4.06781
-9.432e+02,4.06844
-9.430e+02,4.06688
-9.428e+02,4.06688
-9.426e+02,4.06719
-9.424e+02,4.06719
-9.422e+02,4.06813
-9.420e+02,4.06781
-9.418e+02,4.06688
-9.416e+02,4.06719
-9.414e+02,4.06719
-9.412e+02,4.06625
-9.410e+02,4.06625
-9.408e+02,4.06688
-9.406e+02,4.0675
-9.404e+02,4.06719
-9.402e+02,4.06688
-9.400e+02,4.06562
